policy,office_days,remote_days,replication,seed,flexibility,collaboration,functional_form,simulation_days,n_employees,initial_engagement,final_engagement,relative_improvement,k,gamma
P5,1,4,17,58,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7003990756833319,40.07981513666638,1.0,0.3
P5,1,4,18,59,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6994407442884168,39.88814885768337,1.0,0.3
P5,1,4,19,60,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6978486905212878,39.56973810425757,1.0,0.3
P5,1,4,20,61,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6955037417737723,39.10074835475446,1.0,0.3
P5,1,4,21,62,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7052182036499146,41.043640729982926,1.0,0.3
P5,1,4,22,63,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.696772226231825,39.354445246365,1.0,0.3
P5,1,4,23,64,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6944020996413512,38.88041992827025,1.0,0.3
P5,1,4,24,65,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7025952133414416,40.51904266828832,1.0,0.3
P5,1,4,25,66,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.700189379410003,40.037875882000606,1.0,0.3
P5,1,4,26,67,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7019991180495977,40.39982360991954,1.0,0.3
P5,1,4,27,68,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7050540736739669,41.01081473479338,1.0,0.3
P5,1,4,28,69,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.7039832371486303,40.796647429726065,1.0,0.3
P5,1,4,29,70,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.701995167481278,40.3990334962556,1.0,0.3
P5,1,4,30,71,0.8969190015313269,0.6936270901760078,nonlinear,365,100,0.5,0.6960942739696573,39.218854793931456,1.0,0.3
P6,0,5,1,42,1.0,0.2,nonlinear,365,100,0.5,0.5957045212929356,19.14090425858712,1.0,0.3
P6,0,5,2,43,1.0,0.2,nonlinear,365,100,0.5,0.5924308138221568,18.486162764431356,1.0,0.3
P6,0,5,3,44,1.0,0.2,nonlinear,365,100,0.5,0.5968537374156803,19.370747483136054,1.0,0.3
P6,0,5,4,45,1.0,0.2,nonlinear,365,100,0.5,0.5951141298285436,19.022825965708723,1.0,0.3
P6,0,5,5,46,1.0,0.2,nonlinear,365,100,0.5,0.5981457970907732,19.62915941815464,1.0,0.3
P6,0,5,6,47,1.0,0.2,nonlinear,365,100,0.5,0.5979499396386273,19.58998792772546,1.0,0.3
P6,0,5,7,48,1.0,0.2,nonlinear,365,100,0.5,0.5942296090252669,18.84592180505338,1.0,0.3
P6,0,5,8,49,1.0,0.2,nonlinear,365,100,0.5,0.5952260932654375,19.045218653087503,1.0,0.3
P6,0,5,9,50,1.0,0.2,nonlinear,365,100,0.5,0.5905075235331467,18.101504706629346,1.0,0.3
P6,0,5,10,51,1.0,0.2,nonlinear,365,100,0.5,0.5946437702764664,18.928754055293282,1.0,0.3
P6,0,5,11,52,1.0,0.2,nonlinear,365,100,0.5,0.5978192883420581,19.56385766841162,1.0,0.3
P6,0,5,12,53,1.0,0.2,nonlinear,365,100,0.5,0.598530880564615,19.706176112923004,1.0,0.3
P6,0,5,13,54,1.0,0.2,nonlinear,365,100,0.5,0.5972414749159376,19.44829498318752,1.0,0.3
P6,0,5,14,55,1.0,0.2,nonlinear,365,100,0.5,0.5959716665758584,19.194333315171686,1.0,0.3
P6,0,5,15,56,1.0,0.2,nonlinear,365,100,0.5,0.5961706526001519,19.23413052003038,1.0,0.3
P6,0,5,16,57,1.0,0.2,nonlinear,365,100,0.5,0.5958937993253143,19.178759865062855,1.0,0.3
P6,0,5,17,58,1.0,0.2,nonlinear,365,100,0.5,0.5949037444349365,18.980748886987307,1.0,0.3
P6,0,5,18,59,1.0,0.2,nonlinear,365,100,0.5,0.5975658266133947,19.51316532267895,1.0,0.3
P6,0,5,19,60,1.0,0.2,nonlinear,365,100,0.5,0.5948107950445887,18.962159008917734,1.0,0.3
P6,0,5,20,61,1.0,0.2,nonlinear,365,100,0.5,0.5936661588094244,18.733231761884884,1.0,0.3
P6,0,5,21,62,1.0,0.2,nonlinear,365,100,0.5,0.6059921686920655,21.1984337384131,1.0,0.3
P6,0,5,22,63,1.0,0.2,nonlinear,365,100,0.5,0.595752861778804,19.150572355760808,1.0,0.3
P6,0,5,23,64,1.0,0.2,nonlinear,365,100,0.5,0.5886165189018957,17.72330378037914,1.0,0.3
P6,0,5,24,65,1.0,0.2,nonlinear,365,100,0.5,0.5965704209800831,19.314084196016612,1.0,0.3
P6,0,5,25,66,1.0,0.2,nonlinear,365,100,0.5,0.5996425936736045,19.928518734720903,1.0,0.3
P6,0,5,26,67,1.0,0.2,nonlinear,365,100,0.5,0.5994922338239032,19.89844676478063,1.0,0.3
P6,0,5,27,68,1.0,0.2,nonlinear,365,100,0.5,0.6004239148496318,20.08478296992635,1.0,0.3
P6,0,5,28,69,1.0,0.2,nonlinear,365,100,0.5,0.6000482412452885,20.00964824905771,1.0,0.3
P6,0,5,29,70,1.0,0.2,nonlinear,365,100,0.5,0.6018213304389458,20.36426608778916,1.0,0.3
